,Total_Stops,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Journeyday,Journeymonth,Dephour,Depmin,Arrivalhour,Arrivalmin,Durationhours,Durationmins
21,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,20,0,10,5,14,5
22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,21,25,9,0,11,35
23,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,5,5,30,19,0,13,30
24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,21,5,23,55,2,50
25,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,3,16,0,4,25,12,25
26,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,5,15,15,17,45,2,30
27,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,17,30,19,0,25,30
28,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,6,9,0,4,25,19,25
29,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,14,0,21,0,7,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,22,50,1,20,2,30
31,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,27,3,13,55,1,35,11,40
32,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,5,30,12,35,7,5
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,6,19,50,22,50,3,0
34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15,3,7,10,8,35,1,25
35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,15,6,5,55,8,35,2,40
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18,3,7,10,8,35,1,25
37,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,16,55,23,0,6,5
38,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,18,55,12,0,17,5
39,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,10,20,21,0,10,40
40,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12,5,17,10,19,40,2,30
41,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,13,0,1,30,12,30
42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,9,6,22,45,0,15,1,30
43,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,8,0,7,40,23,40
44,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,21,0,2,15,5,15
45,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,24,3,17,45,20,5,2,20
46,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,19,15,18,50,23,35
47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,5,13,55,15,25,1,30
48,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,18,55,22,35,27,40
49,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,7,30,21,0,13,30
50,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,9,25,13,45,28,20
51,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,14,5,19,50,5,45
52,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,3,13,55,16,20,26,25
53,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,5,45,11,25,5,40
54,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,18,6,9,45,12,0,2,15
55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,4,15,15,18,10,2,55
56,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,2,0,7,45,5,45
57,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,3,11,40,19,10,7,30
58,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,6,6,50,12,10,5,20
59,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,5,17,0,18,50,25,50
60,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,6,0,19,15,13,15
61,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,3,7,5,9,25,26,20
62,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,4,2,0,7,45,5,45
63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,16,45,22,25,5,40
64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,24,3,19,40,22,20,2,40
65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,5,13,0,15,50,2,50
66,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,6,2,0,7,25,5,25
67,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,3,50,12,35,8,45
68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,6,21,15,0,15,3,0
69,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,3,11,30,18,50,7,20
70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18,6,12,0,13,30,1,30
71,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,21,50,19,0,21,10
72,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,5,50,21,50,16,0
73,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,7,55,15,45,7,50
74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18,5,9,10,10,40,1,30
75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,5,8,20,11,20,3,0
76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,21,6,9,30,12,20,2,50
77,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,10,0,5,25,19,25
78,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,3,14,55,17,50,2,55
79,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,5,20,0,10,5,14,5
80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,6,22,10,1,0,2,50
81,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,6,17,0,9,5,16,5
82,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,7,0,12,55,5,55
83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,4,19,55,22,25,2,30
84,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,9,5,15,15,1,30,10,15
85,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,11,40,1,30,13,50
86,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,21,3,8,20,10,35,2,15
87,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,7,5,19,0,11,55
88,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,18,4,17,10,19,40,2,30
89,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,18,55,8,15,13,20
90,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,5,14,5,8,15,18,10
91,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,5,14,5,18,15,28,10
92,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,16,0,21,0,5,0
93,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,20,0,19,15,23,15
94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27,6,19,30,20,45,1,15
95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,15,5,6,20,7,40,1,20
96,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,15,0,4,25,13,25
97,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,13,0,19,15,6,15
98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,24,3,5,45,7,5,1,20
99,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,8,20,18,30,10,10
100,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,5,35,10,10,4,35
101,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,10,0,21,0,11,0
102,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,9,3,17,45,1,35,7,50
103,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,9,5,6,40,19,0,12,20
104,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,15,3,17,15,19,45,2,30
105,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,6,18,55,10,5,15,10
106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,5,21,20,22,50,1,30
107,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,5,45,0,45,19,0
108,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,3,7,35,21,20,13,45
109,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,6,40,19,0,12,20
110,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,9,0,18,50,9,50
111,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,11,30,1,35,14,5
112,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,6,6,55,9,30,2,35
113,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,17,35,22,15,4,40
114,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,5,11,15,18,30,7,15
115,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,20,15,19,15,23,0
116,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,8,0,18,25,10,25
117,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,4,20,25,1,30,5,5
118,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,5,40,4,25,22,45
119,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,9,4,10,20,19,0,8,40
120,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,5,16,45,20,25,27,40
121,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,22,55,10,25,11,30
122,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,5,11,30,14,5,2,35
123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,5,6,0,8,45,2,45
124,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,6,15,5,20,20,5,15
125,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,5,20,55,12,35,15,40
126,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,14,25,16,55,2,30
127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,17,0,19,35,2,35
128,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,6,50,16,10,9,20
129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,13,0,15,50,2,50
130,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,19,45,4,25,8,40
131,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,6,50,12,10,5,20
132,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,5,21,50,3,35,5,45
133,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,5,15,15,17,45,2,30
134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,10,0,12,45,2,45
135,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,8,25,16,20,7,55
136,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,10,0,5,25,19,25
137,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,18,6,9,30,12,20,2,50
138,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,21,4,19,30,22,15,2,45
139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,22,0,10,50,12,50
140,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,0,8,45,2,45
141,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,3,21,10,22,35,25,25
142,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,2,15,12,35,10,20
143,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,14,5,22,35,8,30
144,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,8,30,11,30,3,0
145,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,5,20,40,9,25,12,45
146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,5,21,15,0,15,3,0
147,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,14,15,16,45,2,30
148,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,6,16,30,4,40,12,10
149,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,9,45,8,15,22,30
150,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,5,8,25,16,20,7,55
151,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,14,35,22,20,7,45
152,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,27,5,14,0,21,0,7,0
153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,5,11,10,14,5,2,55
154,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6,17,10,19,40,2,30
155,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,21,6,21,10,0,5,2,55
156,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,3,17,15,19,55,2,40
157,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,6,20,0,22,50,2,50
158,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,14,5,12,0,21,55
159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,5,19,35,21,5,1,30
160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,5,19,50,22,50,3,0
161,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,27,3,9,0,15,30,6,30
162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,5,16,55,19,55,3,0
163,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,6,15,20,17,55,2,35
164,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,5,9,30,12,20,2,50
165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,5,6,10,8,55,2,45
166,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,5,7,5,9,25,26,20
167,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,18,3,22,20,0,40,2,20
168,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5,8,35,17,15,8,40
169,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,3,14,40,17,5,2,25
170,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,20,15,19,15,23,0
171,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,9,40,19,0,9,20
172,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,21,20,0,15,2,55
173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,1,30,4,15,2,45
174,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,8,50,10,35,25,45
175,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,5,17,10,19,40,2,30
176,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,5,15,5,20,20,5,15
177,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,3,9,10,18,30,33,20
178,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,27,3,9,55,1,35,15,40
179,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,5,20,0,10,5,14,5
180,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,9,25,21,50,12,25
181,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,5,19,5,20,35,1,30
182,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,24,6,22,20,0,40,2,20
183,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,8,55,20,20,11,25
184,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,6,5,9,0,19,15,10,15
185,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,6,40,21,55,15,15
186,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,6,20,25,10,55,14,30
187,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,17,30,1,30,8,0
188,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,4,7,55,15,45,7,50
189,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,27,6,22,20,0,40,2,20
190,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,8,0,21,0,13,0
191,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6,3,20,55,9,25,12,30
192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,27,5,13,15,14,45,1,30
193,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,10,20,21,0,10,40
194,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,6,22,0,19,15,21,15
195,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,21,5,11,35,14,0,2,25
196,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,8,20,11,10,26,50
197,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,6,10,23,0,16,50
198,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,4,6,0,8,45,2,45
199,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,9,25,18,30,9,5
200,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,18,15,4,25,10,10
201,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,2,15,19,0,16,45
202,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,3,9,25,7,55,22,30
203,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,21,5,9,45,12,0,2,15
204,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,3,4,55,16,10,11,15
205,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,6,5,55,8,35,2,40
206,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,3,9,0,4,25,19,25
207,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,5,30,4,25,22,55
208,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,9,45,21,20,11,35
209,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,24,5,17,0,10,45,17,45
210,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,14,10,17,10,3,0
211,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,5,12,0,11,10,23,10
212,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,9,35,10,55,25,20
213,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,4,6,50,12,10,5,20
214,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,17,50,1,35,7,45
215,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,8,25,8,15,23,50
216,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,16,30,22,35,6,5
217,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,6,17,15,7,40,14,25
218,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,19,30,12,35,17,5
219,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,3,16,0,16,50,24,50
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,4,55,7,45,2,50
221,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,15,0,1,30,10,30
222,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,6,6,18,15,1,30,7,15
223,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,18,5,13,15,15,35,2,20
224,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,24,3,9,0,11,30,2,30
225,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,12,0,7,40,19,40
226,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,3,15,20,17,55,2,35
227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,12,0,13,30,1,30
228,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,27,4,15,45,22,5,6,20
229,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,5,17,0,9,45,16,45
230,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,7,0,1,20,18,20
231,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,5,16,30,19,50,27,20
