,Total_Stops,Price,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Journeyday,Journeymonth,Dephour,Depmin,Arrivalhour,Arrivalmin,Durationhours,Durationmins
12,0.0,4667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,24,6,11,40,13,55,2,15
13,1.0,9663,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,21,10,9,20,12,10
14,0.0,4804,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,4,17,15,19,50,2,35
15,2.0,14011,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,16,40,19,15,26,35
16,1.0,5830,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,15,4,8,45,13,15,4,30
17,1.0,10262,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,14,0,12,35,22,35
18,2.0,13381,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,20,15,19,15,23,0
19,1.0,12898,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,5,16,0,12,35,20,35
20,1.0,19495,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,14,10,19,20,5,10
21,1.0,6955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,3,22,0,13,20,15,20
22,0.0,3943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,4,0,6,50,2,50
23,0.0,4823,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,18,55,21,50,2,55
24,1.0,7757,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,18,55,8,15,13,20
25,2.0,13292,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,6,21,25,12,35,15,10
26,1.0,8238,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,21,50,3,35,5,45
27,1.0,7682,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,7,0,12,55,5,55
28,0.0,4668,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18,6,9,45,12,35,2,50
29,0.0,3687,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,15,6,7,5,9,20,2,15
30,0.0,3687,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,18,6,7,5,9,20,2,15
31,2.0,13227,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,9,50,23,15,13,25
32,0.0,4423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,4,0,6,50,2,50
33,2.0,10919,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,14,35,12,35,22,0
34,1.0,12373,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,7,5,12,35,5,30
35,1.0,5894,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,10,35,21,0,10,25
36,1.0,4649,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21,5,15,5,20,20,5,15
37,0.0,6245,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,5,14,15,16,45,2,30
38,1.0,19225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,7,0,13,15,6,15
39,1.0,14924,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,7,5,19,0,11,55
40,1.0,9646,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,7,5,18,10,11,5
41,1.0,8714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,6,45,15,15,8,30
42,1.0,12373,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,20,55,19,0,22,5
43,0.0,3383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,5,11,10,13,55,2,45
44,1.0,13062,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,3,9,0,21,0,12,0
45,0.0,3527,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24,3,5,45,8,35,2,50
46,0.0,3943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,5,4,0,6,50,2,50
47,0.0,4667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,5,11,40,13,55,2,15
48,1.0,6117,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,5,19,0,11,5,16,5
49,2.0,11150,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,23,5,19,0,19,55
50,0.0,7202,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,3,11,0,14,15,3,15
51,1.0,12121,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,9,35,10,55,25,20
52,0.0,4377,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,22,20,1,10,2,50
53,0.0,3943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,6,21,15,0,15,3,0
54,0.0,4483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,23,55,2,45,2,50
55,1.0,14231,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,3,19,45,12,0,16,15
56,2.0,17345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,50,23,55,15,5
57,0.0,7414,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6,3,7,5,9,20,2,15
58,1.0,8073,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,5,19,0,1,30,6,30
59,1.0,12395,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6,3,15,40,16,45,25,5
60,1.0,8366,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,9,25,21,50,12,25
61,1.0,5117,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,4,6,5,9,25,27,20
62,1.0,12524,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,8,45,19,0,10,15
63,1.0,7191,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,15,0,1,30,10,30
64,0.0,3687,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,24,5,7,5,9,20,2,15
65,1.0,5894,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,10,35,21,0,10,25
66,0.0,5403,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24,4,9,45,12,35,2,50
67,0.0,3625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,5,13,55,15,25,1,30
68,2.0,10861,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,5,55,19,15,13,20
69,0.0,6297,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,3,13,20,15,35,2,15
70,0.0,5678,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6,7,5,8,30,1,25
71,1.0,9134,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,5,45,8,15,26,30
72,1.0,10791,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,11,40,19,0,7,20
73,2.0,12819,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,23,5,12,35,13,30
74,1.0,6893,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,3,5,5,10,5,5,0
75,0.0,7240,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,3,9,50,12,35,2,45
76,0.0,3898,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,11,40,14,30,2,50
77,0.0,4049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,4,6,25,7,55,1,30
78,1.0,10262,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,17,30,12,35,19,5
79,0.0,3332,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,21,3,8,20,10,35,2,15
80,1.0,10844,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,6,21,10,12,0,14,50
81,0.0,7229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,19,55,22,35,2,40
82,1.0,13941,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,6,30,4,40,22,10
83,1.0,5894,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,11,25,21,0,9,35
84,1.0,10197,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,9,0,19,0,10,0
85,1.0,13712,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,14,5,11,25,21,20
86,1.0,5636,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,2,0,7,25,5,25
87,2.0,13014,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,6,9,40,4,25,18,45
88,1.0,7064,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,8,25,20,45,12,20
89,1.0,10703,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,5,20,25,14,25,18,0
90,1.0,9646,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,5,13,15,22,30,9,15
91,1.0,17057,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,2,15,13,20,11,5
92,1.0,13817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,16,55,10,25,17,30
93,2.0,13748,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,5,55,19,15,13,20
94,0.0,4880,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,4,20,45,23,20,2,35
95,0.0,3540,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,21,6,5,15,7,40,2,25
96,0.0,3257,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,15,5,5,55,8,35,2,40
97,0.0,6478,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,19,50,22,50,3,0
98,0.0,8040,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18,6,7,5,8,30,1,25
99,2.0,14300,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,20,0,12,35,16,35
100,1.0,14781,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,5,8,25,20,45,12,20
101,1.0,14939,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,6,20,0,8,15,12,15
102,1.0,10262,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,20,55,4,25,7,30
103,1.0,6528,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,14,35,14,35,24,0
104,0.0,6121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,6,10,8,55,2,45
105,2.0,13029,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,19,30,4,25,8,55
106,1.0,11421,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,3,11,40,18,50,7,10
107,1.0,7574,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,3,4,45,19,15,14,30
108,2.0,11596,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,5,12,55,19,15,30,20
109,2.0,15129,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,5,23,5,19,0,19,55
110,1.0,13555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,14,5,5,5,15,0
111,0.0,5780,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,4,18,55,21,50,2,55
112,1.0,9397,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12,5,20,20,9,5,12,45
113,1.0,17024,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,18,15,4,25,10,10
114,1.0,5281,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,7,0,12,55,5,55
115,1.0,10348,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,7,5,22,30,15,25
116,1.0,12677,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,17,20,9,25,16,5
117,1.0,15147,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,15,25,1,35,10,10
118,0.0,4668,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,6,7,0,9,40,2,40
119,1.0,15554,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,5,7,5,19,0,11,55
120,0.0,3971,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,4,5,55,8,35,2,40
121,0.0,3100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,5,15,0,16,25,1,25
122,1.0,9663,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,20,0,10,5,14,5
123,1.0,27430,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,23,0,19,15,20,15
124,0.0,3540,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,5,5,15,7,40,2,25
125,2.0,10676,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,5,12,0,11,10,23,10
126,1.0,13044,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,6,14,5,8,15,18,10
127,1.0,14388,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,20,0,12,0,16,0
128,0.0,3943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,6,4,0,6,50,2,50
129,0.0,3597,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,6,14,45,17,5,2,20
130,1.0,5932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,3,11,50,19,50,8,0
131,1.0,10262,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,11,30,4,25,16,55
132,0.0,6216,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,12,5,14,40,17,50,3,10
133,0.0,4804,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,6,20,25,23,10,2,45
134,1.0,14067,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,11,30,1,30,14,0
135,2.0,15129,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,19,10,19,0,23,50
136,2.0,13376,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,6,6,45,4,25,21,40
137,2.0,10441,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,22,0,19,15,21,15
138,0.0,4030,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,5,6,0,8,45,2,45
139,1.0,17024,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,3,8,0,18,50,10,50
140,1.0,13017,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,4,17,30,1,30,8,0
141,1.0,6686,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,23,30,7,45,8,15
142,1.0,5636,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,6,2,0,7,25,5,25
143,1.0,6442,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,6,7,35,16,10,8,35
144,1.0,9486,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,13,5,0,55,11,50
145,1.0,10844,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,5,20,0,23,35,27,35
146,2.0,15318,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,20,0,4,25,8,25
147,1.0,5117,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,4,12,30,9,25,20,55
148,1.0,6147,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,15,10,20,0,4,50
149,1.0,7005,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,6,12,50,21,0,8,10
150,0.0,3873,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,4,22,20,0,40,2,20
151,2.0,9270,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,3,18,25,18,50,24,25
152,0.0,3898,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,6,11,40,14,30,2,50
153,1.0,14781,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,8,25,20,45,12,20
154,1.0,8586,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,5,20,0,8,15,12,15
155,2.0,10697,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,5,8,20,7,55,23,35
156,2.0,14300,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,20,0,12,35,16,35
157,0.0,8855,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,18,55,21,45,2,50
158,1.0,10844,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5,16,30,18,15,25,45
159,1.0,17024,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3,2,15,4,25,26,10
160,1.0,9314,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,9,35,14,25,28,50
161,0.0,4777,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3,0,40,3,25,2,45
162,1.0,7662,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,6,12,0,13,15,25,15
163,1.0,6442,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,5,6,50,16,10,9,20
164,1.0,5264,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,12,6,8,45,13,15,4,30
165,1.0,12898,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,5,13,0,4,25,15,25
166,0.0,6092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,3,13,55,15,25,1,30
167,0.0,3311,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,21,5,5,55,8,35,2,40
168,1.0,6540,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,3,19,15,4,25,9,10
169,0.0,3419,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,5,1,30,4,15,2,45
170,1.0,5177,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,4,14,0,12,35,22,35
171,0.0,8246,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,4,18,5,21,10,3,5
172,1.0,14676,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,6,9,35,21,5,11,30
173,1.0,13587,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,11,30,21,0,9,30
174,1.0,9663,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,21,10,9,20,12,10
175,1.0,13044,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,6,16,30,10,5,17,35
176,1.0,5073,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,4,20,25,1,30,5,5
177,1.0,9345,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,21,5,17,0,18,50,25,50
178,1.0,9663,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,14,5,10,5,20,0
179,1.0,14277,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,5,8,0,21,0,13,0
180,1.0,10262,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,10,0,4,25,18,25
181,0.0,5678,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27,3,19,35,21,5,1,30
182,1.0,13727,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,5,16,0,1,30,9,30
183,1.0,9663,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,20,0,12,0,16,0
184,0.0,3858,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,5,14,45,17,5,2,20
185,1.0,4812,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,24,6,8,45,13,15,4,30
186,1.0,5775,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,6,21,50,3,35,5,45
187,1.0,10539,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,9,35,9,45,24,10
188,0.0,4804,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,15,30,18,5,2,35
189,0.0,3383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,6,11,10,13,55,2,45
190,1.0,8738,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,12,10,17,5,4,55
191,1.0,7165,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,3,5,15,6,50,25,35
192,1.0,6412,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,16,10,22,30,6,20
193,0.0,8016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,6,18,55,22,0,3,5
194,1.0,11087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,20,35,15,15,18,40
195,0.0,3543,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,27,6,9,45,12,0,2,15
196,1.0,12471,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,6,16,30,4,40,12,10
197,1.0,10262,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,6,9,0,4,25,19,25
198,0.0,4441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,3,13,20,16,10,2,50
199,1.0,12537,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,3,7,5,15,30,8,25
200,1.0,10091,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,3,22,25,7,40,9,15
201,0.0,6961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,21,5,23,55,2,50
202,0.0,5013,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,24,4,5,35,8,50,3,15
203,0.0,6934,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,5,5,10,8,0,2,50
204,1.0,10877,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,6,40,19,0,12,20
205,0.0,7229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,4,15,15,18,10,2,55
206,1.0,7048,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,27,3,16,0,1,35,9,35
